method,uri,route_name,controller,action,authentication,active_user_guard,role_guard,company_guard,form_request,policy,service,pagination,rate_limit,feature_test,postman_request,documentation,audit_status,notes
"GET","/api/v1/admin/audit-logs","v1.admin.audit-logs.index","App\Http\Controllers\Api\V1\Admin\AuditLogController","index","Sanctum","EnsureUserIsActive","AdminMiddleware","none","action-specific FormRequest or no body","none/route middleware","AuditLogService/domain services","expected; implementation-specific","none","tests/Feature/Api/V1/AdminApiTest.php","no","BACKEND_IMPLEMENTATION_REPORT.md","REVIEW","No normalized Postman method/path match"
"GET","/api/v1/admin/companies","v1.admin.companies.index","App\Http\Controllers\Api\V1\Admin\AdminCompanyController","index","Sanctum","EnsureUserIsActive","AdminMiddleware","none","action-specific FormRequest or no body","none/route middleware","AdminCompanyService/domain services","expected; implementation-specific","none","tests/Feature/Api/V1/AdminApiTest.php","no","BACKEND_IMPLEMENTATION_REPORT.md","REVIEW","No normalized Postman method/path match"
"GET","/api/v1/admin/companies/{company}","v1.admin.companies.show","App\Http\Controllers\Api\V1\Admin\AdminCompanyController","show","Sanctum","EnsureUserIsActive","AdminMiddleware","none","action-specific FormRequest or no body","none/route middleware","AdminCompanyService/domain services","not applicable/endpoint-specific","none","tests/Feature/Api/V1/AdminApiTest.php","yes","BACKEND_IMPLEMENTATION_REPORT.md","PASS",""
"PATCH","/api/v1/admin/companies/{company}/approve","v1.admin.companies.approve","App\Http\Controllers\Api\V1\Admin\AdminCompanyController","approve","Sanctum","EnsureUserIsActive","AdminMiddleware","none","action-specific FormRequest or no body","none/route middleware","AdminCompanyService/domain services","not applicable/endpoint-specific","none","tests/Feature/Api/V1/AdminApiTest.php","yes","BACKEND_IMPLEMENTATION_REPORT.md","PASS",""
"PATCH","/api/v1/admin/companies/{company}/reject","v1.admin.companies.reject","App\Http\Controllers\Api\V1\Admin\AdminCompanyController","reject","Sanctum","EnsureUserIsActive","AdminMiddleware","none","action-specific FormRequest or no body","none/route middleware","AdminCompanyService/domain services","not applicable/endpoint-specific","none","tests/Feature/Api/V1/AdminApiTest.php","yes","BACKEND_IMPLEMENTATION_REPORT.md","PASS",""
"PATCH","/api/v1/admin/companies/{company}/suspend","v1.admin.companies.suspend","App\Http\Controllers\Api\V1\Admin\AdminCompanyController","suspend","Sanctum","EnsureUserIsActive","AdminMiddleware","none","action-specific FormRequest or no body","none/route middleware","AdminCompanyService/domain services","not applicable/endpoint-specific","none","tests/Feature/Api/V1/AdminApiTest.php","yes","BACKEND_IMPLEMENTATION_REPORT.md","PASS",""
"GET","/api/v1/admin/reports/applications","v1.admin.reports.applications","App\Http\Controllers\Api\V1\Admin\AdminReportController","applications","Sanctum","EnsureUserIsActive","AdminMiddleware","none","action-specific FormRequest or no body","none/route middleware","AdminReportService/domain services","expected; implementation-specific","none","tests/Feature/Api/V1/AdminApiTest.php","no","BACKEND_IMPLEMENTATION_REPORT.md","REVIEW","No normalized Postman method/path match"
"GET","/api/v1/admin/reports/cv-parsing","v1.admin.reports.cv-parsing","App\Http\Controllers\Api\V1\Admin\AdminReportController","cvParsing","Sanctum","EnsureUserIsActive","AdminMiddleware","none","action-specific FormRequest or no body","none/route middleware","AdminReportService/domain services","not applicable/endpoint-specific","none","tests/Feature/Api/V1/AdminApiTest.php","no","BACKEND_IMPLEMENTATION_REPORT.md","REVIEW","No normalized Postman method/path match"
"GET","/api/v1/admin/reports/jobs","v1.admin.reports.jobs","App\Http\Controllers\Api\V1\Admin\AdminReportController","jobs","Sanctum","EnsureUserIsActive","AdminMiddleware","none","action-specific FormRequest or no body","none/route middleware","AdminReportService/domain services","expected; implementation-specific","none","tests/Feature/Api/V1/AdminApiTest.php","no","BACKEND_IMPLEMENTATION_REPORT.md","REVIEW","No normalized Postman method/path match"
"GET","/api/v1/admin/reports/overview","v1.admin.reports.overview","App\Http\Controllers\Api\V1\Admin\AdminReportController","overview","Sanctum","EnsureUserIsActive","AdminMiddleware","none","action-specific FormRequest or no body","none/route middleware","AdminReportService/domain services","not applicable/endpoint-specific","none","tests/Feature/Api/V1/AdminApiTest.php","yes","BACKEND_IMPLEMENTATION_REPORT.md","PASS",""
"GET","/api/v1/admin/skills","v1.admin.skills.index","App\Http\Controllers\Api\V1\Admin\AdminSkillController","index","Sanctum","EnsureUserIsActive","AdminMiddleware","none","action-specific FormRequest or no body","none/route middleware","AdminSkillService/domain services","expected; implementation-specific","none","tests/Feature/Api/V1/AdminApiTest.php","no","BACKEND_IMPLEMENTATION_REPORT.md","REVIEW","No normalized Postman method/path match"
