"finding_id","severity","category","title","status","evidence","affected_files","affected_endpoints","risk","recommended_fix","verification_required","estimated_scope"
"PR-001","BLOCKER","storage","Persistent user files use ephemeral local disk","CONFIRMED","config/filesystems.php defaults to local; CVService, TestAnswerService and ApplicationInformationRequestService persist files; Dockerfile declares no persistent disk and no Render manifest exists","config/filesystems.php; Dockerfile; app/Services/CVService.php; app/Services/TestAnswerService.php; app/Services/ApplicationInformationRequestService.php","CV upload/download; application CV download; information-response attachments; test-answer files","A Render restart or redeploy can irreversibly remove candidate CVs and submitted evidence, violating production data durability","Configure S3-compatible object storage as production default, migrate existing files, enable throw/report, and test restart durability","Upload/download/delete smoke test before and after instance restart plus restore drill","M"
"PR-002","CRITICAL","dependencies","Composer lock contains known security advisories","CONFIRMED","composer audit on 2026-07-18 reported 19 advisories affecting 10 packages, including High advisories in Laravel/Symfony and patch releases available","composer.lock; composer.json","All HTTP and mail-processing surfaces using affected dependencies","Known vulnerabilities remain deployable in the production image","Update constrained dependencies, review breaking risk, regenerate lock, rerun audit and full regression suite","composer audit must return zero unresolved applicable High/Critical advisories","S"
"PR-003","HIGH","health","Production health endpoint returns HTTP 500","CONFIRMED","Safe curl GET https://workey.onrender.com/up returned HTTP 500 while public jobs returned 200","bootstrap/app.php; production runtime configuration","GET /up","Orchestrator health checks cannot reliably distinguish a healthy instance and may restart or route traffic incorrectly","Inspect production logs, make health check dependency-aware but non-destructive, and configure Render healthCheckPath","Repeated /up checks return 200 from cold and warm instances","S"
"PR-004","HIGH","abuse-protection","No API route has explicit rate limiting","CONFIRMED","route:list found 166 API routes and zero middleware entries matching throttle; no RateLimiter configuration found","routes/api/v1.php; bootstrap/app.php","Login, registration, forgot/reset password, uploads, search, mutations","Credential stuffing, password-reset abuse, resource exhaustion and upload denial-of-service are insufficiently bounded","Define named limiters by IP/user and attach strict auth/upload and sensible general API limits","Feature tests assert 429 boundaries and Retry-After behavior","M"
"PR-005","HIGH","queues","Production queue worker lifecycle is not defined in repository deployment configuration","CONFIRMED","QUEUE_CONNECTION defaults to database and ParseCVFileJob implements ShouldQueue; Dockerfile launches Apache only; no render.yaml or worker command exists","config/queue.php; app/Jobs/ParseCVFileJob.php; app/Services/CVService.php; Dockerfile","POST /api/v1/cv/upload and CV parsing lifecycle","Uploaded CVs may remain indefinitely unparsed and failed jobs may accumulate","Add a separately supervised Render worker using queue:work with retries/timeouts and failed-job monitoring","Upload CV in staging and verify queued job completion, retry, failure and worker restart","S"
"PR-006","HIGH","identity","Email ownership is not verified before active account use","CONFIRMED","users include email_verified_at, but no verification routes/middleware exist; implementation report explicitly records the gap","routes/api/v1.php; app/Models/User.php; BACKEND_IMPLEMENTATION_REPORT.md","Registration, login and all authenticated workflows","Users can register and operate with email addresses they do not control, enabling impersonation and unreliable recovery/notifications","Implement verification issuance/resend/verify endpoints and enforce verified middleware for sensitive workflows","Feature tests for unverified denial, token expiry, replay, resend limits and verified activation","M"
"PR-007","HIGH","backup-recovery","No database or object-storage backup and restore procedure is defined","CONFIRMED","No backup tooling, schedule, runbook, retention policy or restore verification exists in repository; scheduler has no tasks","Dockerfile; routes/console.php; README.md","All persistent database records and user files","Data loss or corruption cannot be recovered to a defined RPO/RTO","Enable provider database backups/PITR and object versioning, document retention and quarterly restore drills","Timestamped successful restore drill with measured RPO/RTO","M"
"PR-008","HIGH","deployment","Deployment contract is incomplete and non-reproducible","CONFIRMED","No render.yaml; Dockerfile has no health check, migration release step, worker, scheduler or runtime environment validation; README remains Laravel boilerplate","Dockerfile; .gitlab-ci.yml; README.md","Build, release and runtime","Environment-specific dashboard settings become undocumented single points of failure and schema changes may be skipped","Add declarative Render Blueprint or complete runbook with web/worker, health, migrations, env, disk/object storage and rollback","Clean staging deploy from documented configuration followed by smoke suite","M"
"PR-009","MEDIUM","mysql","MySQL migration execution was not available in the audit environment","NOT_EXECUTED","Local mysql client/server and port 3306 were unavailable; external configured database was intentionally not mutated; static review found no obvious SQLite-only SQL","database/migrations; config/database.php","All database-backed endpoints","SQLite-green tests do not prove MySQL DDL, collation, locking or rollback behavior","Add MySQL 8 CI service and execute fresh, seed-safe smoke, rollback/reapply and full tests","CI evidence on supported production MySQL version","M"
"PR-010","MEDIUM","code-quality","Pint formatting gate fails","CONFIRMED","vendor/bin/pint --test reported formatting violations across 68 files","app; config; database; tests","Maintainability and review quality","Run Pint in a dedicated formatting change and make Pint test mandatory in CI","pint --test exits zero","S"
"PR-011","MEDIUM","ci","CI builds an image but does not run quality or test gates","CONFIRMED",".gitlab-ci.yml contains only docker build and push on master"," .gitlab-ci.yml","All releases","A broken, vulnerable or style-invalid image can be published from master","Add composer validate/audit, migration tests, PHPUnit, Pint, MySQL service and image smoke stages before push","Deliberately failing test blocks image publication","M"
"PR-012","MEDIUM","seeding","Default DatabaseSeeder creates documented sample accounts with fixed credentials","CONFIRMED","DatabaseSeeder always invokes SampleUserSeeder; the implementation report documents the fixed sample credentials","database/seeders/DatabaseSeeder.php; database/seeders/SampleUserSeeder.php; BACKEND_IMPLEMENTATION_REPORT.md","Any deployment or operator command using db:seed or migrate --seed","Accidental production seeding creates predictable privileged and business accounts","Keep production reference-data seeding separate and hard-block sample seeders outside local/testing","Production-mode seeding test proves sample accounts cannot be created","S"
"PR-013","MEDIUM","api-performance","Several authenticated collection endpoints are unpaginated","CONFIRMED","Information requests, test questions and test answers use get() while other major collections paginate","app/Services/ApplicationInformationRequestService.php; app/Services/TestQuestionService.php; app/Services/TestAnswerService.php","GET application information requests; test questions; test-attempt answers","Large assessments or long-running applications can produce unbounded responses and memory use","Add capped pagination or explicit documented upper bounds and response metadata","Load tests at maximum supported cardinality and contract tests","M"
"PR-014","MEDIUM","security-headers","Application-level security headers and explicit CORS policy are absent","CONFIRMED","config/cors.php is absent and no CSP, HSTS, frame, referrer or permissions header middleware was found","bootstrap/app.php; config; docker/apache.conf","All HTTP responses","Browser clients rely on platform defaults and may receive inconsistent cross-origin and hardening behavior","Define least-privilege CORS and security headers at proxy/app level, accounting for API clients","Header assertions in staging and allowed/disallowed origin tests","S"
"PR-015","MEDIUM","operations","No scheduler or maintenance tasks are defined","CONFIRMED","php artisan schedule:list returned no scheduled tasks","routes/console.php","Expired tokens, stale records, pruning and operational housekeeping","Define only required pruning/monitoring tasks and configure Render cron or scheduler process with overlap protection","schedule:list plus staging execution and idempotency checks","S"
"PR-016","MEDIUM","cache-operations","Production cache maintenance depends on database availability","CONFIRMED","CACHE_STORE is database; optimize:clear attempted a database cache delete and failed when the configured external MySQL was unreachable","config/cache.php; .env.example","Deploy and incident maintenance commands","Cache clear/optimize operations can fail during database incidents, complicating recovery","Use Redis or document database-cache dependency and run config/route/event/view clears independently in failure runbooks","Run deploy and cache-clear drill with database unavailable","S"
"PR-017","LOW","documentation","Primary README is still framework boilerplate","CONFIRMED","README contains the stock Laravel introduction and no project deployment, architecture or operations instructions","README.md","Developer onboarding and operations","Operators may miss environment, migration, worker, storage and recovery requirements","Replace with project-specific setup, architecture, API, deployment and incident links","Fresh-clone setup performed by a second operator","S"
"PR-018","INFO","tests","Full automated suite passes","PASS","php artisan test: 281 passed, 2658 assertions in 21.54 seconds","tests","Core API surface","Provides strong regression confidence for implemented business behavior","Retain and add production integration gates","Full suite remains green on SQLite and MySQL","N/A"
"PR-019","INFO","migrations","Isolated SQLite migration lifecycle passes","PASS","migrate:fresh, migrate:status, rollback one migration and re-apply all succeeded on disposable SQLite database","database/migrations","Schema lifecycle","Confirms portable baseline only; does not replace MySQL execution","Retain migration lifecycle in CI for both databases","Fresh/rollback/reapply evidence on every supported DB","N/A"
"PR-020","INFO","secrets","No high-confidence tracked secret patterns found","PASS","Tracked-file scan found no private keys or common high-confidence tokens; .env is not tracked"," .gitignore; tracked files","Repository secret exposure","Pattern scans are not exhaustive and history was not deeply scanned","Add secret scanning to CI and rotate any credential ever exposed outside managed secrets","CI secret scan and periodic history review","S"
